model;vendor;price;quantity
OnePlus 8 Pro; OnePlus;390;5
HTC Droid Incredible 4G LTE; HTC;290;1
OnePlus Nord; OnePlus;425;1
OnePlus 8; OnePlus;283;6
BlackBerry Aurora; BlackBerry Mobile;429;7
Samsung Galaxy A5; Samsung Electronics;428;3
ZTE Blade V; ZTE;360;1
Pixel 3/XL; Google;272;5
LG K22; LG Electronics;315;9
Samsung Galaxy S6 Edge+; Samsung Electronics;434;6
ZTE Blade G2; ZTE;243;8
LG K31; LG Electronics;270;8
BlackBerry Key2; BlackBerry Mobile;247;1
ZTE Blade III Pro; ZTE;234;7
HTC Evo 3D; HTC;248;5
Samsung Galaxy S6 Edge+; Samsung Electronics;434;6
ZTE Blade III Pro; ZTE;234;3
ZTE Blade G/Lux; ZTE;400;8
Xiaomi Black Shark 2 Pro; Xiaomi;346;6
LG Q92 5G; LG Electronics;216;2
Xiaomi Mi 10/Pro; Xiaomi;366;3
HTC Amaze 4G; HTC;227;6
HTC Desire C; HTC;199;8
BlackBerry Aurora; BlackBerry Mobile;429;4
Pixel 3a/XL; Google;365;2
Xiaomi Mi Note 10/Pro; Xiaomi;234;1
LG Q92 5G; LG Electronics;216;7
OnePlus Nord; OnePlus;425;4
Moto G (3rd generation); Motorola Mobility;206;2
LG Velvet; LG Electronics;496;1
OnePlus 9 Pro; OnePlus;483;5
Pixel 3/XL; Google;272;7
OnePlus 7T Pro; OnePlus;329;8
HTC One V; HTC;240;7
Moto X Style; Motorola Mobility;232;1
Pixel 4a; Google;289;2
ZTE Blade Vec 3G/4G; ZTE;447;6
LG Stylo 6; LG Electronics;397;6
HTC Desire V; HTC;359;6
Xiaomi Mi 9 Pro/Pro 5G; Xiaomi;350;4
Pixel 3a/XL; Google;365;4
HTC One X/XL; HTC;352;7
ZTE Blade C V807; ZTE;229;7
OnePlus 8 Pro; OnePlus;390;9
Xiaomi Mi 9T; Xiaomi;388;2
ZTE Blade V; ZTE;360;5
Samsung Galaxy A8/Duos; Samsung Electronics;402;7
Pixel 3a/XL; Google;365;4
Xiaomi Mi MIX 3 5G; Xiaomi;396;1
HTC Evo Design 4G; HTC;491;4
HTC Desire C; HTC;199;7
LG K42/K71; LG Electronics;416;7
HTC Droid Incredible 4G LTE; HTC;290;7
HTC One X/XL; HTC;352;9
Motorola Droid Turbo; Motorola Mobility;444;6
Pixel 4/XL; Google;410;6
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016); Samsung Electronics;447;8
Samsung Galaxy A5; Samsung Electronics;428;2
Pixel 5; Google;408;6
OnePlus Nord; OnePlus;425;1
Samsung Galaxy S7/Edge; Samsung Electronics;373;2
Pixel 3a/XL; Google;365;6
OnePlus 7T; OnePlus;341;2
HTC Droid Incredible 4G LTE; HTC;290;4
ZTE Blade G2; ZTE;243;1
Samsung Galaxy S6/Edge; Samsung Electronics;274;6
ZTE Blade Vec 3G/4G; ZTE;447;1
Xiaomi Mi 9 Lite; Xiaomi;417;4
BlackBerry Aurora; BlackBerry Mobile;429;5
OnePlus 8; OnePlus;283;7
HTC Evo Design 4G; HTC;491;4
Xiaomi Mi 9/SE; Xiaomi;471;9
ZTE Blade L2; ZTE;244;4
Xiaomi Mi 9 Pro/Pro 5G; Xiaomi;350;1
Moto G (2nd generation); Motorola Mobility;206;5
LG Q92 5G; LG Electronics;216;7
Samsung Galaxy A5 Duos; Samsung Electronics;200;5
Xiaomi Mi 9 Pro/Pro 5G; Xiaomi;350;4
HTC Rhyme; HTC;201;2
HTC Amaze 4G; HTC;227;7
HTC Evo 4G LTE; HTC;477;5
Motorola Droid Turbo; Motorola Mobility;444;3
OnePlus 9; OnePlus;386;6
HTC Droid Incredible 4G LTE; HTC;290;5
HTC Rhyme; HTC;201;8
Oppo Find; Oppo;334;4
OnePlus 9 Pro; OnePlus;483;3
Pixel 4a; Google;289;5
Xiaomi Mi MIX 3 5G; Xiaomi;396;7
ZTE Blade S6; ZTE;219;6
HTC Sensation XE; HTC;481;5
LG Q61; LG Electronics;326;7
LG Q61; LG Electronics;326;8
Samsung Galaxy Note 5; Samsung Electronics;254;9
HTC Rhyme; HTC;201;2
ZTE Blade G V880G; ZTE;274;7
Samsung Galaxy A5 Duos; Samsung Electronics;200;7
Samsung Galaxy S6/Edge; Samsung Electronics;274;6
Samsung Galaxy S7/Edge; Samsung Electronics;373;8
Pixel 2/XL; Google;347;6
ZTE Blade Q/Maxi/Mini; ZTE;374;8
LG Stylo 6; LG Electronics;397;2
BlackBerry Key2; BlackBerry Mobile;247;5
ZTE Blade G/Lux; ZTE;400;7
HTC Evo 4G LTE; HTC;477;9
ZTE Blade G2; ZTE;243;8
Moto E (1st generation); Motorola Mobility;353;3
OnePlus 7T; OnePlus;341;5
HTC Droid Incredible 4G LTE; HTC;290;5
Xiaomi Mi A3; Xiaomi;253;8
Xiaomi Mi 9T Pro; Xiaomi;430;3
OnePlus 9; OnePlus;386;4
Samsung Galaxy S6/Edge; Samsung Electronics;274;5
Samsung Galaxy Xcover 3; Samsung Electronics;473;9
HTC Desire C; HTC;199;2
ZTE Blade G/Lux; ZTE;400;6
HTC One V; HTC;240;8
HTC Raider 4G; HTC;286;8
Xiaomi Mi 9T; Xiaomi;388;7
ZTE Director; ZTE;432;9
LG Velvet; LG Electronics;496;9
ZTE Blade S6; ZTE;219;6
ZTE Blade G/Lux; ZTE;400;6
BlackBerry KeyOne; BlackBerry Mobile;346;1
Moto X (2nd generation); Motorola Mobility;286;1
HTC Sensation XE; HTC;481;4
OnePlus 7T Pro; OnePlus;329;2
LG K31; LG Electronics;270;2
Pixel 5; Google;408;3
HTC One S C2; HTC;462;1
BlackBerry Aurora; BlackBerry Mobile;429;8
Moto X (2nd generation); Motorola Mobility;286;8
Samsung Galaxy Note 5; Samsung Electronics;254;3
HTC Amaze 4G; HTC;227;3
Moto X Play; Motorola Mobility;437;6
HTC Evo Design 4G; HTC;491;3
HTC Sensation XE; HTC;481;1
HTC Raider 4G; HTC;286;3
HTC Rezound; HTC;209;4
LG Q92 5G; LG Electronics;216;2
Xiaomi Black Shark 2 Pro; Xiaomi;346;6
LG K31; LG Electronics;270;5
OnePlus 9 Pro; OnePlus;483;6
ZTE Blade Vec 3G/4G; ZTE;447;8
Motorola Droid Turbo; Motorola Mobility;444;3
Xiaomi Mi 9 Lite; Xiaomi;417;3
HTC One V; HTC;240;5
HTC One S; HTC;317;7
HTC Desire VC; HTC;360;9
Xiaomi Mi 9/SE; Xiaomi;471;1
Moto G4; Motorola Mobility;339;3
HTC Sensation XL; HTC;309;1
Moto E3; Motorola Mobility;341;7
Samsung Galaxy A7/Duos; Samsung Electronics;426;8
Pixel 4a; Google;289;3
Samsung Galaxy A5 Duos; Samsung Electronics;200;7
Moto X Style; Motorola Mobility;232;2
LG K42/K71; LG Electronics;416;8
LG Stylo 6; LG Electronics;397;7
HTC Sensation XE; HTC;481;8
Moto G4; Motorola Mobility;339;7
OnePlus 7T Pro; OnePlus;329;9
Moto E (2nd generation); Motorola Mobility;358;6
LG K42/K71; LG Electronics;416;2
BlackBerry KeyOne; BlackBerry Mobile;346;4
HTC Desire C; HTC;199;7
OnePlus Nord N10 5G; OnePlus;414;5
ZTE Blade G/Lux; ZTE;400;8
Xiaomi Mi MIX 3 5G; Xiaomi;396;7
Xiaomi Mi MIX 3 5G; Xiaomi;396;9
Samsung Galaxy A5 Duos; Samsung Electronics;200;8
LG K42/K71; LG Electronics;416;8
LG K31; LG Electronics;270;8
HTC Desire V; HTC;359;6
OnePlus 8T; OnePlus;328;5
Pixel 4/XL; Google;410;3
Xiaomi Mi Note 10/Pro; Xiaomi;234;7
Moto X Style; Motorola Mobility;232;2
Xiaomi Black Shark 2 Pro; Xiaomi;346;2
Moto G (2nd generation); Motorola Mobility;206;6
Pixel 2/XL; Google;347;3
ZTE Blade C V807; ZTE;229;6
OnePlus 8; OnePlus;283;6
Samsung Galaxy A8/Duos; Samsung Electronics;402;2
LG K22; LG Electronics;315;1
Moto X Play; Motorola Mobility;437;6
Samsung Galaxy A8/Duos; Samsung Electronics;402;9
Samsung Galaxy A5 Duos; Samsung Electronics;200;1
Moto G (2nd generation); Motorola Mobility;206;8
Samsung Galaxy A7/Duos; Samsung Electronics;426;7
ZTE Blade Vec 3G/4G; ZTE;447;6
OnePlus 7T Pro; OnePlus;329;3
HTC One V; HTC;240;3
HTC Amaze 4G; HTC;227;1
OnePlus 8T; OnePlus;328;3
Pixel 3/XL; Google;272;4
Samsung Galaxy Note Edge; Samsung Electronics;264;9
HTC Evo 3D; HTC;248;3
HTC Sensation XL; HTC;309;5
HTC One V; HTC;240;8
Samsung Galaxy Note 5; Samsung Electronics;254;1
Pixel 4/XL; Google;410;5
Pixel 3/XL; Google;272;5
LG Q61; LG Electronics;326;2
ZTE Director; ZTE;432;1
Motorola Droid Turbo; Motorola Mobility;444;5
HTC Salsa; HTC;257;6
OnePlus 9 Pro; OnePlus;483;7
HTC Explorer; HTC;396;8
LG K42/K71; LG Electronics;416;3
Samsung Galaxy Xcover 3; Samsung Electronics;473;8
HTC One V; HTC;240;8
LG K42/K71; LG Electronics;416;6
Samsung Galaxy S6/Edge; Samsung Electronics;274;4
Xiaomi Mi 9 Pro/Pro 5G; Xiaomi;350;8
ZTE Blade G/Lux; ZTE;400;1
OnePlus 8; OnePlus;283;5
Pixel 2/XL; Google;347;9
BlackBerry Aurora; BlackBerry Mobile;429;2
ZTE Blade C V807; ZTE;229;2
HTC One X/XL; HTC;352;9
BlackBerry Motion; BlackBerry Mobile;383;6
Pixel 2/XL; Google;347;9
ZTE Blade L2; ZTE;244;5
LG K42/K71; LG Electronics;416;6
OnePlus 8; OnePlus;283;8
Samsung Galaxy S6 Edge+; Samsung Electronics;434;7
Xiaomi Mi 9T; Xiaomi;388;4
HTC Raider 4G; HTC;286;4
Samsung Galaxy A5 Duos; Samsung Electronics;200;8
HTC Sensation XL; HTC;309;7
Samsung Galaxy A7/Duos; Samsung Electronics;426;1
HTC Evo 3D; HTC;248;2
HTC One V; HTC;240;8
HTC One S; HTC;317;7
HTC Evo 4G LTE; HTC;477;8
OnePlus Nord N100; OnePlus;397;5
HTC Evo 4G LTE; HTC;477;9
LG Stylo 6; LG Electronics;397;4
Samsung Galaxy Note Edge; Samsung Electronics;264;4
OnePlus Nord N10 5G; OnePlus;414;6
ZTE Blade Q/Maxi/Mini; ZTE;374;3
ZTE Blade G/Lux; ZTE;400;8
HTC Evo 3D; HTC;248;5
Moto G (3rd generation); Motorola Mobility;206;3
HTC Droid Incredible 4G LTE; HTC;290;9
HTC One X/XL; HTC;352;3
ZTE Blade L2; ZTE;244;2
ZTE Blade Q/Maxi/Mini; ZTE;374;2
Xiaomi Mi A3; Xiaomi;253;1
BlackBerry Motion; BlackBerry Mobile;383;8
OnePlus 7T Pro; OnePlus;329;8
Pixel 2/XL; Google;347;3
Samsung Galaxy S6/Edge; Samsung Electronics;274;2
Xiaomi Mi 9T Pro; Xiaomi;430;7
Samsung Galaxy A5; Samsung Electronics;428;1
OnePlus Nord N100; OnePlus;397;1
ZTE Blade G/Lux; ZTE;400;1
BlackBerry Aurora; BlackBerry Mobile;429;4
HTC One S C2; HTC;462;9
ZTE Blade V; ZTE;360;5
Xiaomi Mi 9T; Xiaomi;388;2
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016); Samsung Electronics;447;9
LG Q92 5G; LG Electronics;216;2
OnePlus Nord; OnePlus;425;2
HTC One X/XL; HTC;352;3
OnePlus Nord N100; OnePlus;397;9
ZTE Blade C V807; ZTE;229;1
Moto E3; Motorola Mobility;341;4
HTC Sensation XE; HTC;481;8
Moto G (2nd generation); Motorola Mobility;206;1
OnePlus Nord N10 5G; OnePlus;414;2
HTC Droid Incredible 4G LTE; HTC;290;6
Moto G (3rd generation); Motorola Mobility;206;8
Pixel 4a (5G); Google;469;9
Xiaomi Mi 9 Lite; Xiaomi;417;3
LG Velvet; LG Electronics;496;2
Samsung Galaxy A8/Duos; Samsung Electronics;402;5
Samsung Galaxy A7/Duos; Samsung Electronics;426;3
HTC Desire VC; HTC;360;9
OnePlus Nord N100; OnePlus;397;8
Samsung Galaxy S7/Edge; Samsung Electronics;373;3
BlackBerry Motion; BlackBerry Mobile;383;3
Xiaomi Mi 9T; Xiaomi;388;4
Xiaomi Mi 9 Lite; Xiaomi;417;3
OnePlus 7T Pro; OnePlus;329;7
Samsung Galaxy Note 5; Samsung Electronics;254;9
OnePlus Nord N100; OnePlus;397;3
BlackBerry KeyOne; BlackBerry Mobile;346;1
Samsung Galaxy A7/Duos; Samsung Electronics;426;9
Pixel 4a; Google;289;5
Xiaomi Mi MIX 3 5G; Xiaomi;396;4
BlackBerry KeyOne; BlackBerry Mobile;346;5
Xiaomi Mi 9T; Xiaomi;388;6
ZTE Blade V; ZTE;360;7
BlackBerry Motion; BlackBerry Mobile;383;7
Xiaomi Mi MIX 3 5G; Xiaomi;396;9
HTC Explorer; HTC;396;9
OnePlus 8T; OnePlus;328;4
Xiaomi Mi 9/SE; Xiaomi;471;7
Moto E (1st generation); Motorola Mobility;353;9
LG K31; LG Electronics;270;1
HTC One S; HTC;317;6
HTC Sensation XL; HTC;309;5
Xiaomi Mi 9T; Xiaomi;388;4
OnePlus 8; OnePlus;283;5
LG K22; LG Electronics;315;9
HTC Rezound; HTC;209;3
Samsung Galaxy A8/Duos; Samsung Electronics;402;4
OnePlus 9; OnePlus;386;1
Xiaomi Mi 9 Lite; Xiaomi;417;7
Samsung Galaxy Note 5; Samsung Electronics;254;4
Xiaomi Mi MIX 3 5G; Xiaomi;396;1
HTC Sensation XL; HTC;309;8
HTC Salsa; HTC;257;1
LG K22; LG Electronics;315;2
HTC One V; HTC;240;1
Samsung Galaxy S7/Edge; Samsung Electronics;373;3
BlackBerry KeyOne; BlackBerry Mobile;346;9
LG Q61; LG Electronics;326;7
HTC Rhyme; HTC;201;5
HTC Explorer; HTC;396;1
Moto G (2nd generation); Motorola Mobility;206;9
Samsung Galaxy A7/Duos; Samsung Electronics;426;4
OnePlus Nord N100; OnePlus;397;5
HTC One S C2; HTC;462;7
Xiaomi Mi 9/SE; Xiaomi;471;6
LG Velvet; LG Electronics;496;5
HTC One S C2; HTC;462;3
Pixel 3/XL; Google;272;1
OnePlus 8; OnePlus;283;2
ZTE Blade V; ZTE;360;9
ZTE Director; ZTE;432;3
Xiaomi Mi 9 Lite; Xiaomi;417;7
LG K31; LG Electronics;270;3
ZTE Blade V; ZTE;360;2
HTC Desire V; HTC;359;1
LG Velvet; LG Electronics;496;7
OnePlus 9 Pro; OnePlus;483;5
Samsung Galaxy Note 5; Samsung Electronics;254;3
Samsung Galaxy Xcover 3; Samsung Electronics;473;8
BlackBerry Motion; BlackBerry Mobile;383;4
Pixel 4a (5G); Google;469;5
Pixel 5; Google;408;8
OnePlus 9; OnePlus;386;5
LG K22; LG Electronics;315;5
Xiaomi Mi 9 Lite; Xiaomi;417;5
OnePlus Nord N100; OnePlus;397;1
Moto X Play; Motorola Mobility;437;9
Samsung Galaxy Note Edge; Samsung Electronics;264;1
Xiaomi Mi 9 Lite; Xiaomi;417;3
Moto G (2nd generation); Motorola Mobility;206;7
Moto X Style; Motorola Mobility;232;3
OnePlus Nord N10 5G; OnePlus;414;3
OnePlus 9 Pro; OnePlus;483;7
HTC Desire VC; HTC;360;6
HTC One S C2; HTC;462;2
HTC Desire VC; HTC;360;6
OnePlus 8; OnePlus;283;1
ZTE Blade Vec 3G/4G; ZTE;447;3
Samsung Galaxy A5 Duos; Samsung Electronics;200;4
HTC Sensation XL; HTC;309;9
Moto X Style; Motorola Mobility;232;6
Xiaomi Mi 9 Pro/Pro 5G; Xiaomi;350;8
Moto E (1st generation); Motorola Mobility;353;7
OnePlus 9 Pro; OnePlus;483;3
Xiaomi Mi MIX 3 5G; Xiaomi;396;3
HTC Droid Incredible 4G LTE; HTC;290;7
Samsung Galaxy S6/Edge; Samsung Electronics;274;3
Pixel 4/XL; Google;410;2
HTC Amaze 4G; HTC;227;3
Pixel 4a (5G); Google;469;4
Motorola Droid Turbo; Motorola Mobility;444;3
ZTE Blade Vec 3G/4G; ZTE;447;8
Moto E (1st generation); Motorola Mobility;353;9
Pixel 2/XL; Google;347;6
Moto X Style; Motorola Mobility;232;4
BlackBerry Key2; BlackBerry Mobile;247;1
BlackBerry Motion; BlackBerry Mobile;383;2
Pixel 5; Google;408;6
ZTE Blade G/Lux; ZTE;400;2
OnePlus 7T; OnePlus;341;6
Xiaomi Mi 9T; Xiaomi;388;3
Samsung Galaxy Note Edge; Samsung Electronics;264;4
ZTE Blade S6; ZTE;219;8
HTC Desire VC; HTC;360;1
ZTE Blade Q/Maxi/Mini; ZTE;374;1
HTC Sensation XE; HTC;481;8
Xiaomi Black Shark 2; Xiaomi;258;6
OnePlus 8; OnePlus;283;6
OnePlus Nord N10 5G; OnePlus;414;2
BlackBerry Motion; BlackBerry Mobile;383;1
OnePlus 9 Pro; OnePlus;483;6
BlackBerry KeyOne; BlackBerry Mobile;346;5
LG Stylo 6; LG Electronics;397;4
HTC One X/XL; HTC;352;9
ZTE Director; ZTE;432;6
Xiaomi Mi 10/Pro; Xiaomi;366;8
HTC One S; HTC;317;7
HTC One S; HTC;317;8
OnePlus Nord N10 5G; OnePlus;414;1
HTC Evo 3D; HTC;248;3
OnePlus Nord N100; OnePlus;397;9
HTC Salsa; HTC;257;7
Samsung Galaxy A5 Duos; Samsung Electronics;200;3
OnePlus Nord; OnePlus;425;9
Samsung Galaxy A3/Duos; Samsung Electronics;407;5
HTC Desire VC; HTC;360;4
HTC Sensation XL; HTC;309;7
Xiaomi Black Shark 2; Xiaomi;258;7
Moto X (2nd generation); Motorola Mobility;286;5
Samsung Galaxy A9 (2016); Samsung Electronics;300;9
HTC Evo 3D; HTC;248;9
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016); Samsung Electronics;447;1
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016); Samsung Electronics;447;5
Moto E3; Motorola Mobility;341;2
BlackBerry KeyOne; BlackBerry Mobile;346;7
Samsung Galaxy A5 Duos; Samsung Electronics;200;8
HTC Explorer; HTC;396;5
Pixel 2/XL; Google;347;8
Motorola Droid Turbo; Motorola Mobility;444;2
Xiaomi Mi 9 Pro/Pro 5G; Xiaomi;350;5
OnePlus 8; OnePlus;283;3
Samsung Galaxy A5; Samsung Electronics;428;3
HTC Raider 4G; HTC;286;1
Pixel 2/XL; Google;347;6
Moto G4; Motorola Mobility;339;9
Motorola Droid Turbo; Motorola Mobility;444;8
HTC One S C2; HTC;462;4
Motorola Droid Turbo; Motorola Mobility;444;8
HTC Desire VC; HTC;360;5
Xiaomi Mi Note 10/Pro; Xiaomi;234;1
HTC One S; HTC;317;7
HTC One V; HTC;240;5
Xiaomi Mi A3; Xiaomi;253;1
Samsung Galaxy S7/Edge; Samsung Electronics;373;1
Xiaomi Mi Note 10/Pro; Xiaomi;234;9
HTC Rezound; HTC;209;5
BlackBerry Key2; BlackBerry Mobile;247;2
OnePlus 7T; OnePlus;341;4
HTC Sensation XL; HTC;309;2
Pixel 4/XL; Google;410;7
Samsung Galaxy S7/Edge; Samsung Electronics;373;3
Xiaomi Black Shark 2 Pro; Xiaomi;346;1
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016); Samsung Electronics;447;8
ZTE Blade Vec 3G/4G; ZTE;447;6
Oppo Find; Oppo;334;3
Samsung Galaxy Xcover 3; Samsung Electronics;473;3
Moto X (2nd generation); Motorola Mobility;286;7
OnePlus 9; OnePlus;386;2
Pixel 5; Google;408;7
HTC Evo 3D; HTC;248;3
OnePlus Nord N100; OnePlus;397;5
ZTE Blade Q/Maxi/Mini; ZTE;374;5
OnePlus 7T Pro; OnePlus;329;8
Samsung Galaxy Note Edge; Samsung Electronics;264;3
HTC Amaze 4G; HTC;227;9
ZTE Blade Vec 3G/4G; ZTE;447;8
Samsung Galaxy S7/Edge; Samsung Electronics;373;4
HTC Desire V; HTC;359;3
Moto X Play; Motorola Mobility;437;9
LG Stylo 6; LG Electronics;397;8
Moto G4; Motorola Mobility;339;8
Xiaomi Mi 10/Pro; Xiaomi;366;5
BlackBerry Key2; BlackBerry Mobile;247;9
ZTE Blade Vec 3G/4G; ZTE;447;4
Xiaomi Mi 9 Lite; Xiaomi;417;6
OnePlus 9 Pro; OnePlus;483;8
Samsung Galaxy A7/Duos; Samsung Electronics;426;9
Motorola Droid Turbo; Motorola Mobility;444;4
OnePlus Nord; OnePlus;425;5
LG Stylo 6; LG Electronics;397;3
Samsung Galaxy Note 5; Samsung Electronics;254;5
HTC Salsa; HTC;257;9
BlackBerry KeyOne; BlackBerry Mobile;346;5
HTC Salsa; HTC;257;6
HTC Salsa; HTC;257;6
Xiaomi Mi A3; Xiaomi;253;1
Moto E (1st generation); Motorola Mobility;353;6
ZTE Blade Q/Maxi/Mini; ZTE;374;6
Samsung Galaxy S7/Edge; Samsung Electronics;373;2
Pixel 4a; Google;289;6
Samsung Galaxy A7/Duos; Samsung Electronics;426;6
HTC Evo 4G LTE; HTC;477;8
Moto E3; Motorola Mobility;341;3
OnePlus 7T; OnePlus;341;9
ZTE Blade L2; ZTE;244;1
HTC Desire V; HTC;359;6
Samsung Galaxy Note 5; Samsung Electronics;254;9
LG K42/K71; LG Electronics;416;2
OnePlus 9 Pro; OnePlus;483;9
Xiaomi Mi 9 Lite; Xiaomi;417;8
HTC One V; HTC;240;8
OnePlus 7T; OnePlus;341;9
Xiaomi Mi 9/SE; Xiaomi;471;9
Xiaomi Mi A3; Xiaomi;253;7
Samsung Galaxy S6/Edge; Samsung Electronics;274;1
Xiaomi Mi MIX 3 5G; Xiaomi;396;7
LG Velvet; LG Electronics;496;8
ZTE Blade G/Lux; ZTE;400;9
Xiaomi Mi Note 10/Pro; Xiaomi;234;5
Xiaomi Mi Note 10/Pro; Xiaomi;234;1
Samsung Galaxy A7/Duos; Samsung Electronics;426;4
Moto E3; Motorola Mobility;341;9
Xiaomi Black Shark 2 Pro; Xiaomi;346;3
HTC One V; HTC;240;4
HTC Amaze 4G; HTC;227;6
Samsung Galaxy A5; Samsung Electronics;428;2
Samsung Galaxy Note 5; Samsung Electronics;254;1
OnePlus Nord N10 5G; OnePlus;414;3
Xiaomi Mi 9 Lite; Xiaomi;417;2
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016); Samsung Electronics;447;4
LG Q92 5G; LG Electronics;216;7
Moto G (2nd generation); Motorola Mobility;206;2
Pixel 3a/XL; Google;365;7
OnePlus 9; OnePlus;386;1
BlackBerry Aurora; BlackBerry Mobile;429;8
Pixel 3/XL; Google;272;1
OnePlus 8T; OnePlus;328;4
OnePlus 8T; OnePlus;328;2
Pixel 4a (5G); Google;469;6
HTC Droid Incredible 4G LTE; HTC;290;5
Moto X Play; Motorola Mobility;437;9
Moto G4; Motorola Mobility;339;3
HTC Salsa; HTC;257;8
Moto E (2nd generation); Motorola Mobility;358;4
HTC Sensation XE; HTC;481;2
OnePlus Nord; OnePlus;425;2
BlackBerry KeyOne; BlackBerry Mobile;346;6
Moto G4; Motorola Mobility;339;8
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016); Samsung Electronics;447;6
Samsung Galaxy S6 Edge+; Samsung Electronics;434;4
Motorola Droid Turbo; Motorola Mobility;444;1
HTC Evo Design 4G; HTC;491;2
OnePlus 8T; OnePlus;328;1
Moto X Style; Motorola Mobility;232;5
Moto G4; Motorola Mobility;339;4
Xiaomi Mi 9T; Xiaomi;388;5
Samsung Galaxy A3/Duos; Samsung Electronics;407;3
HTC Amaze 4G; HTC;227;5
Samsung Galaxy S7/Edge; Samsung Electronics;373;6
OnePlus 8; OnePlus;283;4
Samsung Galaxy A7/Duos; Samsung Electronics;426;9
ZTE Blade L2; ZTE;244;5
ZTE Blade Vec 3G/4G; ZTE;447;5
HTC Desire V; HTC;359;1
HTC Evo 4G LTE; HTC;477;4
OnePlus 8T; OnePlus;328;5
HTC One V; HTC;240;2
Moto E (1st generation); Motorola Mobility;353;4
LG K31; LG Electronics;270;7
Pixel 3/XL; Google;272;3
OnePlus Nord N100; OnePlus;397;7
Samsung Galaxy A9 (2016); Samsung Electronics;300;3
Moto X Style; Motorola Mobility;232;7
HTC One V; HTC;240;4
HTC Droid Incredible 4G LTE; HTC;290;5
ZTE Blade C V807; ZTE;229;4
HTC Raider 4G; HTC;286;1
Samsung Galaxy A8/Duos; Samsung Electronics;402;5
OnePlus 7T; OnePlus;341;1
HTC Amaze 4G; HTC;227;1
Xiaomi Black Shark 2 Pro; Xiaomi;346;9
LG K22; LG Electronics;315;7
